round,expr_str,ic_5,ic_60,ret_5,ret_60,fitness
31,"(ts_min(ts_sum(ts_min(ts_sum((ts_min(ts_sum((ts_min((ts_min(ts_min(ts_sum((ts_min(ts_std((ts_min(ts_min(ts_sum(low,60),60),60)addts_delta((abs((sign(volume)subhigh))divts_max((ts_delta(close,5)addopen),60)),10)),20),20)addclose),60),60),60)addts_delta(open,10)),20)addvolume),60),20)addts_sum(open,30)),60),60),60),60)addts_delta(open,10))",-0.008304241204539556,-0.02399677325405727,0.310208703278005,0.322183132006175,0.2261822945182525
32,"neg(ts_ema((ts_sum(neg(ts_ema((ts_sum(low,60)add(((ts_ema((lowmulopen),60)mulneg(ts_delta(volume,20)))divts_max(abs(ts_mean(open,30)),10))subneg(ts_ema((ts_sum(low,60)add(ts_max((ts_min(ts_delta(ts_ema(volume,20),30),20)addhigh),60)subts_sum(neg(ts_ema(ts_ema(((closesubopen)add(closesubneg(ts_ema((ts_ema((ts_sum(low,60)add(closesubts_min(ts_ema(open,5),60))),60)add(closesubts_sum(neg(ts_delta(sign(close),20)),60))),60)))),60),60)),60))),60)))),60)),60)add(closesubopen)),60))",-0.008192348841054504,-0.02415572074006441,0.3284641644755306,0.32517110894184875,0.2336245561332506
33,"ts_mean((neg(ts_sum(ts_min(neg(ts_mean((ts_corr(ts_min(ts_sum((ts_corr((closemults_mean(neg(high),20)),ts_std((ts_corr(high,open,20)mul(volumesubvolume)),5),20)sub((ts_max(abs((sign(close)divabs(open))),5)addts_corr(volume,low,10))mulopen)),30),60),(log(abs(ts_corr(abs(ts_delta(close,10)),open,10)))addvolume),60)add(ts_mean((closesub((ts_mean((ts_min(high,10)addvolume),60)addts_corr(volume,low,10))mulopen)),20)addts_mean((closesub((ts_mean(ts_mean(close,60),60)addts_corr(volume,low,10))mulopen)),20))),60)),30),10))add(neg(ts_corr(ts_min((closemulclose),10),ts_ema((opendivvolume),20),10))addts_mean((neg(ts_sum(ts_min(neg(ts_mean((ts_corr(ts_min(ts_sum(close,30),60),(ts_min(high,10)addvolume),60)add(ts_mean(ts_mean((ts_corr(ts_min(ts_sum(ts_delta(ts_corr(ts_mean(ts_min(high,10),20),low,20),60),30),60),(ts_min(high,10)addvolume),60)add(ts_mean(ts_delta(ts_delta(volume,10),60),60)addts_mean((closesub(((neg(ts_sum(ts_min(neg(ts_mean((ts_corr(ts_min(close,60),(ts_min(((log(volume)addclose)addts_max(close,10)),10)addvolume),60)add(ts_mean(ts_mean((ts_corr(ts_min(ts_sum(ts_delta(ts_corr(ts_mean(ts_min(high,10),20),low,20),60),30),60),(ts_min(high,10)addvolume),60)add(ts_std(ts_delta(ts_delta(ts_min(open,30),30),20),5)addts_mean((closesub((ts_mean(open,60)addts_corr(volume,low,10))mulopen)),20))),60),60)addts_mean((closesub((ts_mean(open,60)addts_corr(volume,low,10))mulopen)),20))),60)),30),10))add(ts_mean(open,60)addts_mean(ts_corr((neg(ts_corr(open,high,20))subts_sum(low,60)),ts_corr(log((opensubhigh)),low,5),5),20)))addts_corr(volume,low,10))mulopen)),20))),60),60)addts_mean((closesub((ts_mean(open,60)addts_corr(volume,low,10))mulopen)),20))),60)),30),10))add(ts_mean(open,60)addts_mean((closesub(ts_mean(low,60)mulopen)),20))),60))),60)",-0.008014018751380178,-0.026248431913748295,0.24041303073930198,0.31826975542666847,0.20067834275785892
34,"ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_mean(ts_max(ts_max(ts_max(ts_mean(ts_max(ts_max(ts_max(ts_max(neg(ts_max(ts_mean(ts_max(ts_max(ts_max(neg(ts_min(close,20)),20),20),20),30),20)),20),20),20),20),30),20),20),20),30),20),20),20),20),20),20),20),20),20),20)",-0.0075474675930228465,-0.023957863269081673,0.32701447891664515,0.2995269576490802,0.22401530242731954
35,"ts_min(ts_sum(ts_min(ts_min(ts_min(ts_sum((ts_min(ts_sum(low,10),20)add(ts_std(ts_corr(((lowmulopen)sub(volumeaddclose)),ts_mean((opendivvolume),30),60),5)mults_max(open,10))),20),60),60),60),20),60)",-0.008794886327788258,-0.028682358080765653,0.3024574844691683,0.29837168156264715,0.2159117947724185
36,"ts_min(ts_min((volumeaddts_min((highaddts_min(ts_min((ts_min((highadd(volumeaddts_min((ts_min(ts_max((abs(open)subts_corr(neg(volume),log(open),60)),20),60)addneg(ts_corr(ts_max(((opendiv(closedivts_mean(volume,60)))mul(ts_max(ts_mean(low,10),5)mults_corr((lowdivopen),(closesubopen),10))),20),low,20))),60))),60)addneg(ts_corr(sign(high),low,20))),60),60)),60)),60),60)",-0.007656091849924431,-0.026436100661370063,0.2842506569228309,0.25394283038678056,0.1934815494350582
37,"ts_ema(ts_sum((ts_max(abs(ts_std(low,5)),10)addts_sum((ts_max(ts_ema(ts_sum(((ts_sum(((highmulopen)addts_sum((ts_max((volumemulvolume),10)add(highmulopen)),60)),60)mulclose)addts_sum((ts_max((volumemulvolume),10)add(highmulopen)),60)),60),30),10)addts_sum((ts_max((ts_delta(neg(ts_corr((log(high)addts_sum(ts_min((volumesubvolume),30),60)),high,10)),20)mulvolume),10)add(highmulopen)),60)),60)),60),30)",-0.008491670921685344,-0.028828600813064178,0.2282056212180592,0.24969970113206452,0.17286490358275572
38,"ts_mean(ts_sum(neg((neg((ts_ema(low,20)add(ts_sum(ts_sum(neg((ts_min(low,5)add(ts_sum(ts_min(ts_mean(ts_sum((ts_min(high,5)add(ts_sum(ts_min(ts_mean(ts_sum(ts_sum(ts_sum(neg((ts_min(high,5)add(ts_sum(ts_min(ts_mean(ts_sum((ts_min(high,5)add(ts_sum(ts_min(ts_mean(ts_sum(ts_sum(ts_sum(neg((ts_min(high,5)add(ts_sum(ts_min(ts_mean(ts_sum(close,20),30),5),30)subclose))),20),30),20),30),5),30)subclose)),20),30),5),30)subclose))),20),30),20),30),5),30)subclose)),20),30),5),30)subclose))),20),30)subclose)))addhigh)),20),30)",0.008794553981606505,0.0242759366462161,0.26698257253103574,0.21720425552632516,0.1744259634142497
39,"((neg((ts_min(ts_min(ts_mean((ts_ema(abs(close),10)add(openmulhigh)),60),30),60)addhigh))addts_min(close,5))subts_min(ts_ema(close,10),60))",0.008105667294273563,0.0275339912125775,0.20340632468674635,0.2148507451409749,0.15173592321573007
40,"ts_min(ts_delta(ts_corr(ts_sum(sign(ts_min((neg(ts_mean(ts_mean(open,30),30))subhigh),10)),30),close,5),20),10)",-0.0055940895209968654,0.009690010921379626,0.3476687861445864,0.3336496773302511,0.24075407728254958
41,"(ts_min(ts_mean(ts_min(low,60),10),60)subts_ema(ts_delta(ts_corr(ts_mean(close,5),(ts_mean(ts_std(ts_max(log(low),10),10),5)subts_sum(high,20)),60),5),30))",-0.008287993643873849,-0.028280830868794078,0.21961763004003454,0.22728089979969401,0.16189980912080518
42,"((ts_ema(neg(low),30)div(abs((sign(open)sub(((lowdivopen)divlow)subts_corr(log(volume),high,30))))addclose))add((ts_std(ts_max(low,60),10)div(sign(ts_ema(ts_mean(neg(ts_corr(abs(ts_corr(ts_ema(low,10),(highsubopen),30)),close,30)),20),5))addopen))addts_ema(ts_min(ts_ema(open,30),60),5)))",-0.008622803897141158,-0.02866602081241639,0.1682383439518409,0.21421627437259683,0.13945244011998684
